7,11,17,19,24,27,18
4,6,19,21,22,35,24
5,9,13,18,24,34,25
6,7,10,15,33,34,13
1,6,12,13,22,32,28
7,8,15,21,25,29,23
7,8,19,21,29,36,35
4,7,8,23,24,30,3
11,12,16,20,26,34,8
5,10,17,20,26,30,18
8,14,16,18,22,28,30
19,21,22,30,32,33,35
11,13,21,22,35,36,28
8,14,16,25,26,29,31
4,18,23,25,27,30,16
3,8,16,18,24,26,35
7,11,14,18,28,29,16
4,8,11,13,21,33,30
1,10,12,24,31,36,18
9,12,16,20,30,34,10
11,12,20,28,30,36,35
12,15,17,21,24,36,23
5,10,16,18,24,34,4
3,4,18,19,22,28,11
6,7,9,16,24,35,15
1,13,14,16,24,26,21
6,8,13,15,21,25,11
1,10,16,19,25,29,17
13,21,23,33,35,36,8
5,6,20,23,25,27,4
1,3,8,13,32,36,19
2,10,22,28,32,36,21
10,11,13,16,27,36,15
7,9,18,22,28,34,30
7,14,17,19,25,28,9
8,25,30,31,32,34,4
15,17,23,24,28,29,36
8,25,29,30,34,36,19
2,8,10,12,17,35,14
1,8,9,15,16,17,11
4,5,11,22,29,36,30
3,7,21,24,25,36,33
2,5,11,17,19,15,36
7,8,11,31,32,35,21
2,6,24,29,35,36,10
1,17,23,25,32,33,5
5,13,21,26,34,35,29
1,6,10,14,22,25,28
13,14,17,18,21,31,26
6,14,20,21,25,36,15
1,13,23,24,34,35,31
1,7,12,17,26,29,14
4,12,16,17,21,27,11
4,12,15,17,22,34,20
5,6,8,21,27,29,30
1,2,11,32,34,36,20
9,10,11,19,22,30,4
4,6,15,20,26,36,24
11,12,14,15,16,25,8
4,6,8,13,26,32,24
1,15,19,21,26,33,6
4,12,16,24,31,34,27
10,17,19,21,22,30,33
6,10,11,23,27,30,3
5,10,25,28,32,35,26
3,13,19,23,26,32,25
1,6,15,25,28,29,10
7,13,15,25,33,35,18
4,5,19,21,30,31,34
4,9,10,15,32,36,11
5,13,21,23,29,32,34
11,24,26,31,35,36,34
8,17,21,25,28,29,13
4,6,21,26,28,33,30
11,13,19,22,23,32,21
3,9,13,19,25,28,1
1,5,14,17,32,36,4
3,5,19,26,28,32,36
9,10,16,17,20,35,6
3,6,10,19,23,27,26
9,13,18,23,30,31,10
11,17,19,22,29,33,9
3,15,16,18,23,24,29
6,21,22,24,25,34,11
10,11,18,19,23,30,24
15,20,22,25,32,33,13
2,6,9,15,28,34,14
1,7,8,11,21,26,27
9,19,21,22,23,30,33
10,17,19,24,31,32,9
1,4,10,14,15,33,22
2,12,20,22,29,31,6
4,13,15,17,28,29,31
1,12,18,31,32,34,33
4,10,19,20,24,28,13
1,2,3,24,25,30,5
12,17,18,24,26,35,3
6,9,13,17,21,35,31
6,15,19,24,29,34,27
6,8,16,23,30,35,14
2,12,16,20,34,35,9
9,12,19,24,25,35,8
1,6,12,15,25,35,3
3,6,13,14,29,33,18
3,15,20,21,28,35,6
19,20,21,29,32,35,1
5,23,25,31,32,36,34
8,12,13,15,24,33,6
9,14,19,20,21,31,25
3,8,10,18,32,34,15
4,9,12,18,30,33,32
16,18,25,29,33,35,26
5,14,19,27,33,36,29
1,4,7,9,30,33,18
1,3,16,20,25,35,32
1,8,12,24,32,35,11
5,6,10,14,25,28,34
4,13,15,21,24,35,29
4,9,10,32,34,35,6
2,19,23,32,34,35,30
3,11,12,13,26,33,18
4,5,27,32,34,35,12
1,4,9,26,28,30,5
4,8,12,13,18,28,2
1,3,4,14,33,35,20
3,6,12,20,26,29,4
12,16,21,29,33,35,11
7,10,17,19,21,33,23
5,9,16,25,29,34,30
8,14,17,20,30,35,32
9,10,16,26,31,34,6
10,14,16,30,34,36,32
1,9,15,18,22,28,11
2,3,10,11,18,22,33
13,15,17,18,22,34,31
10,13,16,18,19,34,5
5,6,8,15,31,32,16
11,15,19,20,21,31,10
1,5,10,13,18,28,4
5,11,13,21,27,30,29
6,7,11,16,32,34,29
1,6,24,27,32,34,11
2,7,16,17,25,27,28
6,9,10,18,26,29,25
19,23,28,29,30,32,5
1,7,8,23,28,30,2
4,8,13,22,23,31,3
7,8,13,27,29,35,28
7,13,23,26,29,35,19
4,6,8,25,27,28,7
2,12,20,21,24,35,34
7,14,15,24,27,36,28
7,13,15,17,33,34,26
8,17,22,24,33,36,3
6,11,23,27,33,34,26
2,4,6,11,27,31,33
1,4,5,13,19,34,31
1,2,3,9,26,28,33
7,9,16,25,27,29,26
21,24,26,28,32,33,19
3,4,9,12,14,36,11
7,11,13,16,26,34,19
10,11,22,27,29,30,15
5,6,14,18,19,30,8
10,12,13,18,21,22,32
3,8,21,22,23,36,33
1,5,11,29,32,33,35
1,2,3,6,8,36,18
3,5,16,21,26,29,9
3,11,15,25,28,34,36
5,7,11,24,27,33,32
2,5,7,8,15,29,31
5,8,10,11,19,20,25
3,6,18,24,30,33,31
3,5,12,31,32,33,30
1,10,18,20,22,32,30
5,26,27,28,33,36,15
1,8,17,19,24,25,28
1,9,10,11,22,36,6
2,7,12,24,26,33,5
14,18,23,28,29,35,27
6,9,13,15,24,29,36
2,10,19,20,22,32,14
1,5,8,10,17,20,19
3,11,14,20,28,35,9
2,6,14,20,22,36,7
7,9,22,24,26,36,4
6,12,14,15,19,34,26
2,8,15,16,19,29,36
5,11,20,26,34,36,28
4,5,20,21,29,35,11
16,17,25,27,30,33,14
5,17,19,20,27,30,23
2,7,10,18,23,36,32
1,12,15,17,31,34,25
3,6,8,23,26,28,5
1,2,24,26,27,36,25
9,13,20,25,26,30,7
2,6,8,14,31,33,10
5,7,9,13,26,32,30
1,17,22,26,27,30,5
3,6,9,12,15,33,24
1,10,15,17,34,36,27
1,2,18,27,31,34,8
6,9,11,12,16,28,27
4,26,28,32,33,36,10
5,13,17,18,24,31,29
17,18,23,25,32,36,6
17,22,25,26,30,36,8
3,4,13,25,30,31,19
9,14,19,21,27,30,1
3,7,10,21,22,32,15
12,18,23,25,28,32,3
1,4,22,23,27,33,30
1,3,13,16,27,33,10
11,13,21,28,29,32,15
16,19,23,28,33,35,15
4,8,27,29,33,36,32
3,7,12,20,27,34,5
6,8,12,20,31,32,29
4,5,18,22,26,30,31
4,11,18,20,21,32,7
7,24,27,31,33,36,29
1,5,19,29,31,35,6
3,8,13,14,15,28,29
7,9,11,15,17,30,22
2,15,18,19,22,33,16
6,8,10,21,27,31,18
8,12,15,23,27,31,26
2,3,11,24,25,31,33
4,10,21,27,33,34,11
2,3,4,6,20,32,27
1,9,10,15,18,29,34
9,10,11,15,16,31,27
1,4,7,24,27,34,22
1,6,11,18,22,31,3
5,6,8,11,30,31,28
12,16,17,24,26,29,30
11,15,25,31,35,36,27
4,9,13,22,24,32,27
11,19,26,29,33,35,28
1,4,14,15,16,22,27
3,7,8,12,21,23,5
3,6,15,18,22,33,13
5,6,10,18,27,34,4
9,10,13,27,30,35,14
13,14,17,19,23,27,6
1,4,9,10,33,36,29
5,8,10,11,22,26,30
1,6,14,21,23,31,8
2,6,9,10,29,33,15
4,6,13,16,20,24,8
5,11,17,22,28,33,10
4,14,22,26,27,34,31
1,5,13,14,23,29,4
2,5,8,22,31,32,10
14,15,28,30,31,34,1
9,16,18,26,29,33,2
