13,18,22,29,34,6
13,18,27,29,34,6
13,22,27,29,34,6
18,22,27,29,34,6
2,8,17,19,21,34
2,8,17,19,21,14
2,8,17,19,34,14
2,8,17,21,34,14
2,8,19,21,34,14
2,17,19,21,34,14
8,17,19,21,34,14
3,6,7,25,30,33
3,6,7,25,30,20
3,6,7,25,33,20
3,6,7,30,33,20
3,6,25,30,33,20
3,7,25,30,33,20
6,7,25,30,33,20
6,14,15,23,24,31
6,14,15,23,24,33
6,14,15,23,31,33
6,14,15,24,31,33
6,14,23,24,31,33
6,15,23,24,31,33
14,15,23,24,31,33
1,6,7,17,19,24
1,6,7,17,19,15
1,6,7,17,24,15
1,6,7,19,24,15
1,6,17,19,24,15
1,7,17,19,24,15
6,7,17,19,24,15
7,9,17,25,27,32
7,9,17,25,27,10
7,9,17,25,32,10
7,9,17,27,32,10
7,9,25,27,32,10
7,17,25,27,32,10
9,17,25,27,32,10
13,16,23,28,34,36
13,16,23,28,34,6
13,16,23,28,36,6
13,16,23,34,36,6
13,16,28,34,36,6
13,23,28,34,36,6
16,23,28,34,36,6
5,14,16,20,22,24
5,14,16,20,22,12
5,14,16,20,24,12
5,14,16,22,24,12
5,14,20,22,24,12
5,16,20,22,24,12
14,16,20,22,24,12
9,18,19,20,26,28
9,18,19,20,26,36
9,18,19,20,28,36
9,18,19,26,28,36
9,18,20,26,28,36
9,19,20,26,28,36
18,19,20,26,28,36
2,6,14,29,34,36
2,6,14,29,34,21
2,6,14,29,36,21
2,6,14,34,36,21
2,6,29,34,36,21
2,14,29,34,36,21
6,14,29,34,36,21
7,8,9,10,12,25
7,8,9,10,12,1
7,8,9,10,25,1
7,8,9,12,25,1
7,8,10,12,25,1
7,9,10,12,25,1
8,9,10,12,25,1
2,18,22,30,35,36
2,18,22,30,35,28
2,18,22,30,36,28
2,18,22,35,36,28
2,18,30,35,36,28
2,22,30,35,36,28
18,22,30,35,36,28
6,12,17,24,29,36
6,12,17,24,29,32
6,12,17,24,36,32
6,12,17,29,36,32
6,12,24,29,36,32
6,17,24,29,36,32
12,17,24,29,36,32
2,13,16,23,30,34
2,13,16,23,30,8
2,13,16,23,34,8
2,13,16,30,34,8
2,13,23,30,34,8
2,16,23,30,34,8
13,16,23,30,34,8
1,5,6,9,28,32
1,5,6,9,28,21
1,5,6,9,32,21
1,5,6,28,32,21
1,5,9,28,32,21
1,6,9,28,32,21
5,6,9,28,32,21
1,4,5,9,12,24
1,4,5,9,12,10
1,4,5,9,24,10
1,4,5,12,24,10
1,4,9,12,24,10
1,5,9,12,24,10
4,5,9,12,24,10
8,15,25,29,30,36
8,15,25,29,30,13
8,15,25,29,36,13
8,15,25,30,36,13
8,15,29,30,36,13
8,25,29,30,36,13
15,25,29,30,36,13
2,5,7,10,12,20
2,5,7,10,12,8
2,5,7,10,20,8
2,5,7,12,20,8
2,5,10,12,20,8
2,7,10,12,20,8
5,7,10,12,20,8
7,11,13,23,24,32
7,11,13,23,24,28
7,11,13,23,32,28
7,11,13,24,32,28
7,11,23,24,32,28
7,13,23,24,32,28
11,13,23,24,32,28
7,11,12,20,29,30
7,11,12,20,29,32
7,11,12,20,30,32
7,11,12,29,30,32
7,11,20,29,30,32
7,12,20,29,30,32
11,12,20,29,30,32
1,4,7,16,31,34
1,4,7,16,31,23
1,4,7,16,34,23
1,4,7,31,34,23
1,4,16,31,34,23
1,7,16,31,34,23
4,7,16,31,34,23
7,11,17,19,24,27
7,11,17,19,24,18
7,11,17,19,27,18
7,11,17,24,27,18
7,11,19,24,27,18
7,17,19,24,27,18
11,17,19,24,27,18
4,6,19,21,22,35
4,6,19,21,22,24
4,6,19,21,35,24
4,6,19,22,35,24
4,6,21,22,35,24
4,19,21,22,35,24
6,19,21,22,35,24
5,9,13,18,24,34
5,9,13,18,24,25
5,9,13,18,34,25
5,9,13,24,34,25
5,9,18,24,34,25
5,13,18,24,34,25
9,13,18,24,34,25
6,7,10,15,33,34
6,7,10,15,33,13
6,7,10,15,34,13
6,7,10,33,34,13
6,7,15,33,34,13
6,10,15,33,34,13
7,10,15,33,34,13
1,6,12,13,22,32
1,6,12,13,22,28
1,6,12,13,32,28
1,6,12,22,32,28
1,6,13,22,32,28
1,12,13,22,32,28
6,12,13,22,32,28
7,8,15,21,25,29
7,8,15,21,25,23
7,8,15,21,29,23
7,8,15,25,29,23
7,8,21,25,29,23
7,15,21,25,29,23
8,15,21,25,29,23
7,8,19,21,29,36
7,8,19,21,29,35
7,8,19,21,36,35
7,8,19,29,36,35
7,8,21,29,36,35
7,19,21,29,36,35
8,19,21,29,36,35
4,7,8,23,24,30
4,7,8,23,24,3
4,7,8,23,30,3
4,7,8,24,30,3
4,7,23,24,30,3
4,8,23,24,30,3
7,8,23,24,30,3
11,12,16,20,26,34
11,12,16,20,26,8
11,12,16,20,34,8
11,12,16,26,34,8
11,12,20,26,34,8
11,16,20,26,34,8
12,16,20,26,34,8
5,10,17,20,26,30
5,10,17,20,26,18
5,10,17,20,30,18
5,10,17,26,30,18
5,10,20,26,30,18
5,17,20,26,30,18
10,17,20,26,30,18
8,14,16,18,22,28
8,14,16,18,22,30
8,14,16,18,28,30
8,14,16,22,28,30
8,14,18,22,28,30
8,16,18,22,28,30
14,16,18,22,28,30
19,21,22,30,32,33
19,21,22,30,32,35
19,21,22,30,33,35
